sample,split,source,session_id,prompt,raw_answer,cartograph,started_utc
1,training_1_76,evidence/legacy/raw_runs/open_ended_attractor_D01_R0.json,257fc2c2-a06f-17b8-f23d-0d512031145a,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-05T01:38:02.371207+00:00
2,training_1_76,evidence/legacy/raw_runs/open_ended_attractor_D01_R1.json,4b8fb6cd-1e95-aace-5393-bc10de0685f0,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-05T01:38:47.931165+00:00
3,training_1_76,evidence/legacy/raw_runs/open_ended_attractor_D01_R2.json,4de371e5-9542-1e81-0e4d-a4255fe6121a,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T01:39:34.484467+00:00
4,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/D01_R0.json,e91ea7e5-f9db-70fc-8a03-0007f4effe7d,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-05T14:44:38.472746+00:00
5,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/D01_R1.json,fa257279-7fbc-f4c9-0563-7e4faa5c50bb,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-05T14:46:04.220609+00:00
6,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/D01_R2.json,6cd9afa3-8ee0-de8c-ec41-25f82a18005a,Invent a literary novel title. Title only.,The Cartography of Unsaid Things,1,2026-09-05T14:46:30.512010+00:00
7,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/B03_A.json,39219955-3a66-a72d-f830-a667510a14c7,Invent a literary novel title. Title only.,The Cartography of Unsaid Things,1,2026-09-05T14:52:56.998857+00:00
8,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/B02_A.json,d90d1d10-842b-75e8-a523-7f2ed9d64b34,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-05T14:53:15.934781+00:00
9,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/B04_A.json,4319dbe9-f086-02d4-1658-ac91658e46a7,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-05T14:53:27.221827+00:00
10,training_1_76,evidence/legacy/behavioral_cartography_20260905/raw_runs/B01_A.json,57c597fb-3b5f-ce01-1ed1-9dcdae2d187b,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-05T14:53:37.739870+00:00
11,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T01.json,546817a8-27dd-bb09-1a38-f96b5a1fda4c,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T20:27:44.017740+00:00
12,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T02.json,92c121f2-5355-0b21-6ead-3637161425c0,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T20:27:49.464719+00:00
13,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T03.json,41f34eb2-4e5a-48f9-ba36-dfe4f5d36f47,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T20:27:55.052884+00:00
14,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T04.json,5100fc89-fe99-4c17-2832-1614bcb66ed3,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T20:28:00.073928+00:00
15,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T05.json,1aee3d9a-d86e-7e5b-f97e-a08c25d3ff12,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T20:28:04.663194+00:00
16,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T06.json,19c8b147-f3f2-d9f2-caf1-9434d0ad4006,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-05T20:28:10.435549+00:00
17,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T07.json,e7a8d6cb-a937-916c-bb1f-951259f815a9,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-05T20:28:17.685364+00:00
