condition_id,label,evidence_tier,interface_mode,recorded_model_id,n,file,prompt_preserved,freshness_reported,memory_status_reported,session_ids_available,date_provenance,notes
luna_codex,GPT-5.6 Luna / original Codex (low),PRIMARY / AUDITED,Codex CLI,gpt-5.6-luna,200,../luna_codex_200.csv,yes,yes,fresh sessions,yes,UTC timestamp recorded per response,One separate usage-limit failure is preserved in ../luna_codex_failed_attempts.csv.
luna_container,GPT-5.6 Luna / reduced-context container (low),PRIMARY / AUDITED,Codex CLI in isolated container,gpt-5.6-luna,200,../luna_reduced_context_200.csv,yes,yes,fresh ephemeral sessions,yes,UTC timestamp recorded per attempt,Derived valid-response view with source filename and row; all four segments and their two invalid attempts remain preserved alongside the frozen protocols.
terra_container,GPT-5.6 Terra / reduced-context container (low),LOGGED COMPARISON,Codex CLI in isolated container,gpt-5.6-terra,50,logged/terra_container.csv,yes,yes,fresh ephemeral sessions,yes,UTC timestamp recorded per response,The frozen source and protocol remain under logged/; original relative paths changed only when the public evidence tree was reorganized.
sol_codex,GPT-5.6 Sol / Codex (low),LOGGED COMPARISON,Codex CLI,gpt-5.6-sol,20,logged/sol_codex.csv,yes,yes,fresh sessions,yes,Not retained in compact CSV,Low reasoning was reported for this study condition.
astra_codex,GPT-6 Astra / Codex (low),LOGGED COMPARISON,Codex CLI,gpt-6-astra,20,logged/astra_codex.csv,yes,yes,fresh sessions,yes,Not retained in compact CSV,Low reasoning was reported for this study condition.
work_luna_light,GPT-5.6 Luna Light / ChatGPT Work,MANUAL WEB,ChatGPT Work browser,Reported Luna-light label,20,web/work_luna_light.txt,reported,unknown,unknown,no,Unknown,Backend equivalence with Codex GPT-5.6 Luna is not established.
claude_haiku_4_5,Claude Haiku 4.5,MANUAL WEB,Web/manual,Reported model label,60,web/claude_haiku_4_5.txt,reported,unknown,unknown,no,Unknown,Collection episodes: responses 1–55 earlier; 56–60 later continuation. Dates and continuity of detailed settings were not recorded. The README reports their descriptive combined total.
claude_sonnet_5_high,Claude Sonnet 5 High,MANUAL WEB,Web/manual,Reported model label,60,web/claude_sonnet_5_high.txt,reported,partial,partial,no,Unknown,Collection episodes: responses 1–30 first; 31–60 later. Fresh prompts and disabled memory were reported for the first 30; later details and collection dates are unknown. The README reports their descriptive combined total.
deepseek_instant,DeepSeek — Instant; search off,MANUAL WEB,Instant; search disabled,Unknown backend version,62,web/deepseek_instant.txt,reported,unknown,unknown,no,Unknown,The interface mode was reported; exact backend version and remaining sampling settings are unknown.
grok_fast,Grok — Fast mode,MANUAL WEB,Fast,Unknown backend version,51,web/grok_fast.txt,reported,unknown,unknown,no,Unknown,Collection episodes: responses 1–31 earlier; 32–51 later continuation. The earlier list was supplied in blocks of 11 and 20; those blocks do not establish further collection boundaries. Exact backend version and dates are unknown. The README reports the descriptive combined total.
gemini_3_5_flash_lite,Gemini 3.5 Flash-Lite,MANUAL WEB,Web/manual,Reported model label,60,web/gemini_3_5_flash_lite.txt,reported,unknown,unknown,no,Unknown,Collection episodes: responses 1–30 earlier; 31–60 later. Dates and continuity of detailed settings were not recorded. The README reports their descriptive combined total.
gpt_5_6_terra_light,GPT-5.6 Terra Light,MANUAL WEB,Web/manual,Reported model label,20,web/gpt_5_6_terra_light.txt,reported,unknown,unknown,no,Unknown,Backend equivalence with logged GPT-5.6 Terra is not established.
